action_id,document_path,confidence,review_state,matched_terms
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/COMERCIALIZACIÓN/MERCARTES/TRANSPORTE/VJLVK4WVZN6U2846.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/COMERCIALIZACIÓN/MERCARTES/DIETAS/Factura_Mercartes_2025_C752426 (1).pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/COMERCIALIZACIÓN/MERCARTES/DIETAS/Factura_Mercartes_2025_C752426 (2).pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/3TR2025/COMERCIALIZACIÓN/MERCARTES/DIETAS/Factura_Mercartes_2025_C752426 (5).pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/4TR2025/FORMACION/Factura_202512_02.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/4TR2025/MANTENIMIENTO TÉCNICO/Factura_202512_02.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/4TR2025/PROGRAMA ACOMPAÑAMIENTO/1_enGira_programa_acompañamiento.pdf,0.78,automatico,contabilidad
ACC-SOPORTE-TECNICO-Y--F45DA80C53,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/4TR2025/SERVIDOR/Factura_2025-10-25_202784490445_V99933615.pdf,0.835,automatico,servidor|soporte
ACC-SOPORTE-TECNICO-Y--F45DA80C53,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/4TR2025/SERVIDOR/Factura_2025-12-25_202785076764_V99933615.pdf,0.835,automatico,servidor|soporte
ACC-SOPORTE-TECNICO-Y--F45DA80C53,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/4TR2025/SERVIDOR/Factura_2025-11-25_202784784857_V99933615.pdf,0.835,automatico,servidor|soporte
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/4TR2025/TRANSPORTE/VJTLVPX73H4Y7930.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/4TR2025/TRANSPORTE/parking reunikn ministerio.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/4TR2025/TRANSPORTE/VJ5GPLTFTKM50244.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/4TR2025/TRANSPORTE/VJXCFZZJ3WNC7931.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/4TR2025/TRANSPORTE/parking mercartes.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/4TR2025/TRANSPORTE/peajes mercartes.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/4TR2025/SUMINISTROS/Factura_FMPVALI001XXXX.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/4TR2025/SUMINISTROS/SN_3291000012688128.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/4TR2025/SUMINISTROS/Factura_MMPVAJI002XXXX.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/4TR2025/SUMINISTROS/Factura_MMPVALI001XXXX.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/4TR2025/SUMINISTROS/invoice.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/4TR2025/SUMINISTROS/Invoice-SIB-4109801.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/4TR2025/SUMINISTROS/Factura_FMPVAJI006XXXX.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/4TR2025/SUMINISTROS/Factura_MMPVAKI001XXXX.pdf,0.78,automatico,contabilidad
ACC-ADMINISTRACION-A0CC1B65E1,08_JUSTIFICACION_ECONOMICA/CONTABILIDAD/GASTOS/PROVEEDORES EXTERNOS/4TR2025/SUMINISTROS/Factura_FMPVAKI003XXXX.pdf,0.78,automatico,contabilidad
